行政區,學校,類型,里／鄰,來源頁
永和區,頂溪國小,基本,永成里,30
永和區,頂溪國小,基本,仁愛里,30
永和區,頂溪國小,基本,頂溪里,30
永和區,頂溪國小,基本,後溪里,30
永和區,頂溪國小,基本,上溪里,30
永和區,頂溪國小,基本,信義里,30
永和區,頂溪國小,基本,文化里,30
永和區,頂溪國小,基本,新?里,30
永和區,頂溪國小,基本,河堤里,30
永和區,頂溪國小,基本,新生里1–14鄰,30
永和區,頂溪國小,基本,中溪里16–18鄰,30
永和區,頂溪國小,基本,下溪里1–8、10–11鄰,30
永和區,頂溪國小,基本,大同里1–9鄰,30
永和區,頂溪國小,自由,中溪里13鄰,30
永和區,頂溪國小,自由,新生里15–18鄰,30
永和區,頂溪國小,自由,中溪里1–12、14–15、19–20鄰,30
永和區,頂溪國小,自由,下溪里9、12–15鄰,30
永和區,頂溪國小,自由,大同里10–18鄰,30
永和區,秀朗國小,基本,秀朗里,30
永和區,秀朗國小,基本,秀和里,30
永和區,秀朗國小,基本,秀得里,30
永和區,秀朗國小,基本,秀林里,30
永和區,秀朗國小,基本,秀成里,30
永和區,秀朗國小,基本,秀元里,30
永和區,秀朗國小,基本,民族里,30
永和區,秀朗國小,基本,民生里,30
永和區,秀朗國小,基本,民本里,30
永和區,秀朗國小,基本,民樂里,30
永和區,秀朗國小,基本,民富里,30
永和區,秀朗國小,基本,永元里,30
永和區,秀朗國小,自由,智光里,30
永和區,秀朗國小,自由,民治里,30
永和區,秀朗國小,自由,民權里,30
永和區,秀朗國小,自由,河濱里,30
永和區,永平國小,基本,前溪里,31
永和區,永平國小,基本,保平里,31
永和區,永平國小,基本,保安里,31
永和區,永平國小,基本,協和里,31
永和區,永平國小,基本,和平里,31
永和區,永平國小,基本,保順里,31
永和區,永平國小,自由,雙和里,31
永和區,永平國小,自由,安和里,31
永和區,永平國小,自由,水源里1、7–21鄰,31
永和區,永平國小,自由,中溪里13鄰,31
永和區,永平國小,自由,中和區福祥里,31
永和區,永平國小,自由,福美里,31
永和區,永平國小,自由,佳和里7–29鄰,31
永和區,永平國小,自由,瓦?里1–15、17–20、23–26、28–29鄰,31
永和區,永平國小,自由,新生里15–18鄰,31
永和區,永平國小,自由,中溪里1–12、14–15、19–20鄰,31
永和區,永平國小,自由,下溪里9、12–15鄰,31
永和區,永平國小,自由,大同里10–18鄰,31
永和區,永和國小,基本,安平里,32
永和區,永和國小,基本,中安里,32
永和區,永和國小,基本,安和里,32
永和區,永和國小,基本,安順里,32
永和區,永和國小,基本,安樂里,32
永和區,永和國小,基本,宜安里二,32
永和區,永和國小,基本,永和區永安里,32
永和區,永和國小,基本,永樂里,32
永和區,永和國小,基本,潭墘里,32
永和區,永和國小,基本,潭安里,32
永和區,永和國小,基本,店街里,32
永和區,永和國小,基本,大新里,32
永和區,永和國小,基本,福和里,32
永和區,永和國小,基本,得和里,32
永和區,永和國小,基本,水源里2–6鄰,32
永和區,永和國小,基本,永貞里9–13鄰,32
永和區,永和國小,自由,永和區雙和里,32
永和區,永和國小,自由,永和區安和里,32
永和區,永和國小,自由,水源里1、7–21鄰,32
汐止區,汐止國小,基本,仁德里,33
汐止區,汐止國小,基本,義民里,33
汐止區,汐止國小,基本,禮門里,33
汐止區,汐止國小,基本,智慧里,33
汐止區,汐止國小,基本,大同里,33
汐止區,汐止國小,基本,信望里,33
汐止區,汐止國小,基本,江北里,33
汐止區,汐止國小,自由,復興里,33
汐止區,汐止國小,自由,白雲里1–9鄰,33
汐止區,汐止國小,自由,八連里1–4鄰,33
汐止區,秀峰國小,基本,秀峰里,33
汐止區,秀峰國小,基本,秀山里,33
汐止區,秀峰國小,基本,福安里,33
汐止區,秀峰國小,自由,復興里,33
汐止區,秀峰國小,自由,白雲里1–9鄰,33
汐止區,秀峰國小,自由,白雲里10–26鄰,33
汐止區,秀峰國小,自由,新昌里15–30鄰,33
汐止區,崇德國小,基本,茄苳里,33
汐止區,崇德國小,基本,崇德里,33
汐止區,崇德國小,基本,橋東里,33
汐止區,崇德國小,基本,建成里1–18鄰,33
汐止區,崇德國小,基本,城中里,33
汐止區,崇德國小,基本,新昌里1–14、31–35鄰,33
汐止區,崇德國小,自由,新昌里15–30鄰,33
汐止區,崇德國小,自由,建成里19–23鄰,33
汐止區,北峰國小,基本,中興里,34
汐止區,北峰國小,基本,福德里,34
汐止區,北峰國小,基本,康福里,34
汐止區,北峰國小,基本,興福里,34
汐止區,北峰國小,基本,環河里6–10鄰,34
汐止區,北峰國小,基本,樟樹里6–8、10–11鄰,34
汐止區,北峰國小,自由,樟樹里9鄰,34
汐止區,北港國小,基本,拱北里,34
汐止區,北港國小,基本,烘內里,34
汐止區,北港國小,基本,八連里5–10鄰,34
汐止區,北港國小,自由,)八連里1–4鄰,34
汐止區,長安國小,基本,鄉長里,34
汐止區,長安國小,基本,長安里,34
汐止區,長安國小,基本,保長里,34
汐止區,長安國小,自由,建成里19–23鄰,34
汐止區,保長國小,基本,保新里,34
汐止區,保長國小,基本,保安里,34
汐止區,白雲國小,基本,橫科里,34
汐止區,白雲國小,基本,福山里,34
汐止區,白雲國小,自由,白雲里1–9鄰,34
汐止區,白雲國小,自由,宜興里,34
汐止區,白雲國小,自由,東勢里,34
汐止區,白雲國小,自由,臺北市南港區中研里,34
汐止區,白雲國小,自由,九如里,34
汐止區,白雲國小,自由,臺北市南港區舊莊里,34
汐止區,白雲國小,自由,臺北市南港區新富里,34
汐止區,東山國小,基本,東山里,35
汐止區,樟樹國小,基本,忠孝里,35
汐止區,樟樹國小,基本,山光里,35
汐止區,樟樹國小,基本,厚德里,35
汐止區,樟樹國小,基本,樟樹里1–5、12–14鄰,35
汐止區,樟樹國小,自由,樟樹里9鄰,35
汐止區,金龍國小,基本,北峰里,35
汐止區,金龍國小,基本,金龍里,35
汐止區,金龍國小,基本,湖光里,35
汐止區,金龍國小,基本,湖蓮里,35
汐止區,金龍國小,基本,湖興里,35
汐止區,金龍國小,基本,北山里,35
汐止區,金龍國小,基本,環河里1–5鄰,35
汐止區,金龍國小,自由,長青里,35
汐止區,金龍國小,自由,忠山里,35
汐止區,青山國中小國小部,基本,文化里,35
汐止區,青山國中小國小部,基本,自強里,35
汐止區,青山國中小國小部,自由,白雲里10–26鄰,35
萬里區,萬里國小,基本,萬里里,36
萬里區,萬里國小,基本,北基里,36
萬里區,萬里國小,基本,龜吼里,36
萬里區,萬里國小,基本,中幅里,36
萬里區,野柳國小,基本,野柳里,36
萬里區,大鵬國小,基本,大鵬里,36
萬里區,大鵬國小,基本,磺潭里,36
萬里區,大鵬國小,基本,雙興里9鄰,36
萬里區,崁腳國小,基本,崁腳里,36
萬里區,崁腳國小,基本,溪底里1鄰,36
萬里區,大坪國小,基本,溪底里1鄰除外,36
萬里區,大坪國小,基本,雙興里9鄰除外,36
金山區,金山國小,基本,三界里,37
金山區,金山國小,基本,和平里,37
金山區,金山國小,基本,大同里,37
金山區,金山國小,基本,豐漁里,37
金山區,金山國小,基本,磺港里,37
金山區,金山國小,基本,清泉里1、2鄰,37
金山區,金山國小,基本,六股里1–5鄰,37
金山區,金山國小,基本,金美里2、7、8、10、14鄰,37
金山區,金山國小,基本,美田里1–23鄰,37
金山區,金山國小,自由,六股里6鄰因地理環境特殊,37
金山區,金美國小,基本,五湖里,37
金山區,金美國小,基本,金美里1、3–6、9、11–13、15–35鄰,37
金山區,金美國小,基本,美田里24、25鄰,37
金山區,三和國小,基本,重和里,37
金山區,三和國小,基本,兩湖里,37
金山區,三和國小,基本,六股里7、8鄰,37
金山區,三和國小,自由,)六股里第6鄰因地理環境特殊,37
金山區,中角國小,基本,清泉里3–10鄰,37
金山區,中角國小,基本,西湖里,37
金山區,中角國小,基本,萬壽里,37
金山區,中角國小,基本,永興里,37
新店區,新店國小,基本,新店里,38
新店區,新店國小,基本,國校里,38
新店區,新店國小,基本,張南里,38
新店區,新店國小,基本,文中里,38
新店區,新店國小,基本,廣明里,38
新店區,新店國小,基本,文明里,38
新店區,新店國小,基本,中興里15–18鄰,38
新店區,新店國小,基本,頂城里1–10鄰,38
新店區,新店國小,基本,直潭里1–7鄰,38
新店區,新店國小,基本,塗潭里1–3鄰,38
新店區,新店國小,基本,粗坑里1、2、3、9鄰,38
新店區,新店國小,基本,太平里,38
新店區,新店國小,自由,美城里,38
新店區,新店國小,自由,青潭里1–2鄰,38
新店區,大豐國小,基本,明德里,38
新店區,大豐國小,基本,國豐里,38
新店區,大豐國小,基本,信義里,38
新店區,大豐國小,基本,大豐里,38
新店區,大豐國小,基本,江陵里,38
新店區,大豐國小,基本,大鵬里,38
新店區,大豐國小,基本,忠孝里,38
新店區,大豐國小,基本,建國里,38
新店區,大豐國小,基本,百和里,38
新店區,大豐國小,基本,大同里,38
新店區,大豐國小,基本,復興里,38
新店區,大豐國小,基本,仁愛里13–19鄰,38
新店區,大豐國小,基本,寶安里14–39鄰,38
新店區,大豐國小,自由,中山里,38
新店區,大豐國小,自由,和平里,38
新店區,中正國小,基本,新德里,38
新店區,中正國小,基本,中央里,38
新店區,中正國小,基本,中正里,38
新店區,中正國小,基本,中華里,38
新店區,中正國小,基本,福民里,38
新店區,中正國小,基本,百忍里,38
新店區,中正國小,基本,百福里,38
新店區,中正國小,基本,新生里,38
新店區,中正國小,基本,福德里,38
新店區,中正國小,自由,中山里,38
新店區,中正國小,自由,和平里,38
新店區,北新國小,基本,五峰里,38
新店區,北新國小,基本,新安里,38
新店區,北新國小,基本,忠誠里,38
新店區,北新國小,基本,寶興里,38
新店區,北新國小,基本,張北里,38
新店區,北新國小,基本,寶福里,38
新店區,北新國小,基本,中興里1–14鄰,38
新店區,北新國小,基本,長春里,38
新店區,北新國小,基本,寶安里1–13鄰,38
新店區,北新國小,基本,仁愛里1–12鄰,38
新店區,北新國小,自由,)美潭里16–20鄰,38
新店區,安坑國小,基本,下城里,38
新店區,安坑國小,基本,公崙里,38
新店區,安坑國小,基本,德安里1–17鄰,38
新店區,安坑國小,基本,頂城里11–18鄰,38
新店區,安坑國小,基本,明城里,38
新店區,安坑國小,基本,安昌里,38
新店區,安坑國小,基本,達觀里,38
新店區,安坑國小,基本,柴埕里25–27鄰除外,38
新店區,安坑國小,自由,柴埕里25–27鄰,38
新店區,安坑國小,自由,德安里18–28鄰,38
新店區,新和國小,基本,永安里,39
新店區,新和國小,基本,安和里,39
新店區,新和國小,基本,新和里,39
新店區,新和國小,基本,永平里,39
新店區,新和國小,自由,柴埕里25–27鄰,39
新店區,直潭國小,基本,直潭里8–22鄰,39
新店區,直潭國小,基本,塗潭里4–11鄰,39
新店區,直潭國小,基本,華城里,39
新店區,直潭國小,自由,美城里,39
新店區,青潭國小,基本,青潭里3–22鄰,39
新店區,青潭國小,基本,美潭里1–15鄰,39
新店區,青潭國小,基本,員潭里,39
新店區,青潭國小,自由,青潭里1–2鄰,39
新店區,青潭國小,自由,美潭里16–20鄰,39
新店區,屈尺國小,基本,屈尺里,39
新店區,屈尺國小,基本,廣興里,39
新店區,屈尺國小,基本,粗坑里1、2、3、9鄰除外,39
新店區,龜山國小,基本,龜山里,39
新店區,雙城國小,基本,雙城里,39
新店區,雙城國小,基本,日興里,39
新店區,雙城國小,基本,香坡里,39
新店區,雙城國小,自由,玫瑰里,39
新店區,雙城國小,自由,吉祥里,39
新店區,雙峰國小,基本,雙坑里,40
新店區,達觀國中小國小部,基本,小城里,40
新店區,達觀國中小國小部,自由,玫瑰里,40
新店區,達觀國中小國小部,自由,吉祥里,40
新店區,達觀國中小國小部,自由,德安里18–28鄰,40
深坑區,深坑國小,自由,深坑區土庫里,41
石碇區,石碇國小,基本,石碇里,42
石碇區,石碇國小,基本,潭邊里,42
石碇區,石碇國小,基本,烏塗里,42
石碇區,石碇國小,基本,彭山里,42
石碇區,石碇國小,基本,豐田里1–5鄰,42
石碇區,石碇國小,自由,深坑區土庫里石碇、和平、深坑區深坑國小,42
石碇區,石碇國小,自由,豐田里6–7鄰,42
石碇區,永定國小,基本,永定里,42
石碇區,永定國小,基本,中民里,42
石碇區,永定國小,基本,光明里,42
石碇區,永定國小,自由,豐田里6–7鄰,42
石碇區,和平國小,基本,隆盛里,42
石碇區,和平國小,基本,豐林里,42
石碇區,和平國小,自由,深坑區土庫里,42
石碇區,雲海國小,基本,格頭里,42
石碇區,雲海國小,基本,永安里,42
烏來區,烏來國中小國小部,基本,烏來里,44
烏來區,烏來國中小國小部,基本,忠治里,44
烏來區,烏來國中小國小部,基本,孝義里,44
烏來區,烏來國中小國小部,基本,信賢里,44
烏來區,德拉楠民族實小,基本,福山里,44
瑞芳區,瑞柑國小,基本,柑坪里,45
瑞芳區,瑞柑國小,自由,新峰里,45
瑞芳區,瑞芳國小,基本,龍興里,45
瑞芳區,瑞芳國小,基本,龍川里,45
瑞芳區,瑞芳國小,基本,爪峰里,45
瑞芳區,瑞芳國小,基本,東和里,45
瑞芳區,瑞芳國小,基本,龍潭里9–13鄰,45
瑞芳區,瑞芳國小,自由,新峰里,45
瑞芳區,瑞芳國小,自由,龍鎮里1–4鄰,45
瑞芳區,瑞芳國小,自由,龍安里10–11鄰,45
瑞芳區,瑞芳國小,自由,碩仁里,45
瑞芳區,瑞芳國小,自由,傑魚里5–7鄰,45
瑞芳區,義方國小,基本,龍山里,45
瑞芳區,義方國小,基本,龍潭里1–8鄰,45
瑞芳區,義方國小,基本,龍鎮里5–15鄰,45
瑞芳區,義方國小,基本,龍安里1–9鄰,45
瑞芳區,義方國小,自由,龍鎮里1–4鄰,45
瑞芳區,義方國小,自由,龍安里10–11鄰,45
瑞芳區,猴硐-蒙特梭利實小,基本,梭猴硐里,45
瑞芳區,猴硐-蒙特梭利實小,基本,光復里,45
瑞芳區,猴硐-蒙特梭利實小,基本,弓橋里,45
瑞芳區,猴硐-蒙特梭利實小,自由,碩仁里,45
瑞芳區,九份國小,基本,福住里,45
瑞芳區,九份國小,基本,崇文里,45
瑞芳區,九份國小,基本,基山里,45
瑞芳區,九份國小,基本,頌德里,45
瑞芳區,九份國小,基本,永慶里,45
瑞芳區,瓜山國小,基本,新山里,45
瑞芳區,瓜山國小,基本,銅山里,45
瑞芳區,瓜山國小,基本,石山里,45
瑞芳區,瓜山國小,基本,瓜山里,45
瑞芳區,濂洞國小,基本,濂新里,45
瑞芳區,濂洞國小,基本,濂洞里,45
瑞芳區,鼻頭國小,基本,鼻頭里,45
瑞芳區,鼻頭國小,基本,南雅里,45
瑞芳區,瑞濱國小,基本,海濱里,46
瑞芳區,瑞濱國小,基本,瑞濱里,46
瑞芳區,瑞濱國小,基本,深澳里,46
瑞芳區,吉慶國小,基本,吉慶里,46
瑞芳區,吉慶國小,基本,吉安里,46
瑞芳區,吉慶國小,基本,上天里9–12鄰,46
瑞芳區,吉慶國小,自由,)上天里7–8鄰,46
瑞芳區,瑞亭國小,基本,傑魚里1–4、8–10鄰,46
瑞芳區,瑞亭國小,基本,上天里1–6鄰,46
瑞芳區,瑞亭國小,自由,上天里7–8鄰,46
瑞芳區,瑞亭國小,自由,傑魚里5–7鄰,46
雙溪區,雙溪國小,基本,共和里,47
雙溪區,雙溪國小,基本,魚行里,47
雙溪區,雙溪國小,基本,新基里,47
雙溪區,雙溪國小,基本,平林里,47
雙溪區,雙溪國小,基本,雙溪里,47
雙溪區,雙溪國小,基本,泰平里,47
雙溪區,雙溪國小,基本,三港里,47
雙溪區,雙溪國小,基本,牡丹里1–6、23–26鄰,47
雙溪區,上林國小,基本,上林里,47
雙溪區,柑林國小,基本,外柑里,47
雙溪區,柑林國小,基本,長源里,47
雙溪區,牡丹國小,基本,牡丹里7–22、27–38鄰,47
雙溪區,牡丹國小,基本,三貂里,47
貢寮區,貢寮國小,基本,貢寮里,48
貢寮區,貢寮國小,基本,雙玉里,48
貢寮區,貢寮國小,基本,龍崗里,48
貢寮區,貢寮國小,基本,龍門里,48
貢寮區,貢寮國小,基本,吉林里,48
貢寮區,和美國小,基本,和美里,48
貢寮區,澳底國小,基本,真理里,48
貢寮區,澳底國小,基本,仁里里,48
貢寮區,澳底國小,基本,美豐里,48
貢寮區,福隆國小,基本,福隆里,48
貢寮區,福連國小,基本,福連里,48
平溪區,十分國小,基本,望古里3–8鄰,49
平溪區,十分國小,基本,南山里,49
平溪區,十分國小,基本,平湖里,49
平溪區,十分國小,基本,新寮里,49
平溪區,十分國小,基本,十分里,49
平溪區,平溪國小,基本,石底里,49
平溪區,平溪國小,基本,平溪里,49
平溪區,平溪國小,基本,嶺腳里,49
平溪區,平溪國小,基本,東勢里,49
平溪區,平溪國小,基本,望古里1–2鄰,49
平溪區,菁桐國小,基本,薯榔里,49
平溪區,菁桐國小,基本,菁桐里,49
平溪區,菁桐國小,基本,白石里,49
淡水區,淡水國小,基本,清文里,50
淡水區,淡水國小,基本,協元里,50
淡水區,淡水國小,基本,長庚里,50
淡水區,淡水國小,基本,草東里,50
淡水區,淡水國小,基本,永吉里,50
淡水區,淡水國小,基本,北投里12鄰,50
淡水區,淡水國小,基本,中興里6–7、11–17鄰,50
淡水區,淡水國小,自由,新義里1–7鄰,50
淡水區,淡水國小,自由,中興里1–5、8–10、18鄰,50
淡水區,淡水國小,自由,北投里5–8鄰,50
淡水區,淡水國小,自由,水碓里,50
淡水區,淡水國小,自由,正德里,50
淡水區,淡水國小,自由,北新里1、10–16鄰,50
淡水區,淡水國小,自由,北新里2–9、17–20鄰,50
淡水區,淡水國小,自由,北投里13–15鄰,50
淡水區,淡水國小,自由,北投里4、9–11、20–22鄰,50
淡水區,鄧公國小,基本,幸福里,51
淡水區,鄧公國小,基本,鄧公里,51
淡水區,鄧公國小,基本,學府里,51
淡水區,鄧公國小,自由,竿蓁里,51
淡水區,鄧公國小,自由,北新里2–9、17–20鄰,51
淡水區,鄧公國小,自由,中興里1–5、8–10、18鄰,51
淡水區,鄧公國小,自由,樹興里9–12鄰,51
淡水區,鄧公國小,自由,北投里13–15鄰,51
淡水區,新興國小,基本,新義里8–14鄰,52
淡水區,新興國小,基本,新興里,52
淡水區,新興國小,基本,新春里,52
淡水區,新興國小,基本,新民里3–12鄰,52
淡水區,新興國小,自由,新義里1–7鄰,52
淡水區,新興國小,自由,新民里1–2鄰,52
淡水區,新興國小,自由,崁頂里3鄰,52
淡水區,文化國小,基本,民安里,52
淡水區,文化國小,基本,新生里,52
淡水區,文化國小,基本,文化里,52
淡水區,文化國小,自由,水碓里,52
淡水區,文化國小,自由,正德里,52
淡水區,文化國小,自由,北新里1、10–16鄰,52
淡水區,文化國小,自由,北新里2–9、17–20鄰,52
淡水區,文化國小,自由,新義里1–7鄰,52
淡水區,文化國小,自由,新民里1–2鄰,52
淡水區,育英國小,基本,埤島里3–13鄰,53
淡水區,育英國小,基本,新崁里15、19、21鄰,53
淡水區,育英國小,自由,新市里16–23鄰,53
淡水區,育英國小,自由,埤島里1–2鄰,53
淡水區,育英國小,自由,忠山里1–2、7–8鄰,53
淡水區,育英國小,自由,義山里1–3、9–11鄰,53
淡水區,興仁國小,基本,興仁里,54
淡水區,興仁國小,基本,賢孝里4–7鄰,54
淡水區,興仁國小,基本,義山里4–8、12–19鄰,54
淡水區,興仁國小,基本,蕃薯里7–10鄰,54
淡水區,興仁國小,自由,忠山里1–2、7–8鄰,54
淡水區,興仁國小,自由,蕃薯里5–6鄰,54
淡水區,興仁國小,自由,義山里1–3、9–11鄰,54
淡水區,新市國小,基本,北投里1–3、16–19鄰,54
淡水區,新市國小,基本,新市里1–10鄰,54
淡水區,新市國小,自由,新市里16–23鄰,54
淡水區,新市國小,自由,埤島里1–2鄰,54
淡水區,新市國小,自由,北投里4、9–11、20–22鄰,54
淡水區,新市國小,自由,新市里11–15鄰,54
淡水區,忠山實小,基本,忠山里3–6、9–10鄰,55
淡水區,忠山實小,基本,忠寮里10–11鄰,55
淡水區,忠山實小,自由,忠山里1–2、7–8鄰,55
淡水區,忠山實小,自由,忠寮里8–9鄰,55
淡水區,水源國小,基本,水源里,56
淡水區,水源國小,基本,忠寮里1–7、12–13鄰,56
淡水區,水源國小,自由,北投里5–8鄰,56
淡水區,水源國小,自由,樹興里1–2鄰,56
淡水區,水源國小,自由,忠寮里8–9鄰,56
淡水區,水源國小,自由,北投里13–15鄰,56
淡水區,坪頂國小,基本,坪頂里,56
淡水區,坪頂國小,基本,樹興里3–8鄰,56
淡水區,坪頂國小,自由,竿蓁里,56
淡水區,坪頂國小,自由,樹興里1–2鄰,56
淡水區,坪頂國小,自由,樹興里9–12鄰,56
淡水區,屯山國小,基本,屯山里,57
淡水區,屯山國小,基本,賢孝里1–3、8、10–14鄰,57
淡水區,屯山國小,自由,中和里1鄰,57
淡水區,屯山國小,自由,三芝區後厝里,57
淡水區,中泰國小,基本,中和里2–11鄰,57
淡水區,中泰國小,基本,賢孝里9鄰,57
淡水區,中泰國小,基本,蕃薯里1–4鄰,57
淡水區,中泰國小,自由,中和里1鄰,57
淡水區,中泰國小,自由,蕃薯里5–6鄰,57
淡水區,天生國小,基本,油車里,57
淡水區,天生國小,基本,沙崙里8鄰除外,57
淡水區,天生國小,基本,大庄里,57
淡水區,天生國小,自由,沙崙里8鄰,57
淡水區,竹圍國小,基本,民生里,57
淡水區,竹圍國小,基本,竹圍里,57
淡水區,竹圍國小,基本,民權里,57
淡水區,竹圍國小,基本,八勢里,57
淡水區,竹圍國小,自由,竿蓁里,57
淡水區,竹圍國小,自由,福德里,57
淡水區,淡海國小,基本,新崁里1–14鄰、16–18、20鄰,58
淡水區,淡海國小,基本,崁頂里1–17鄰,58
淡水區,淡海國小,自由,新市里11–15鄰,58
淡水區,淡海國小,自由,沙崙里8鄰,58
石門區,石門國小,基本,石門里,59
石門區,石門國小,基本,尖鹿里,59
石門區,石門國小,基本,山溪里,59
石門區,老梅實小,基本,德茂里,59
石門區,老梅實小,基本,富基里,59
石門區,老梅實小,基本,老梅里,59
石門區,乾華國小,基本,茂林里,59
石門區,乾華國小,基本,草里里,59
石門區,乾華國小,基本,乾華里,59
三芝區,三芝國小,基本,八賢里,60
三芝區,三芝國小,基本,埔頭里,60
三芝區,三芝國小,基本,埔坪里,60
三芝區,三芝國小,基本,古庄里,60
三芝區,三芝國小,基本,新庄里,60
三芝區,三芝國小,基本,茂長里,60
三芝區,三芝國小,基本,錫板里,60
三芝區,三芝國小,基本,福德里,60
三芝區,三芝國小,自由,後厝里,60
三芝區,三芝國小,自由,圓山里1–5鄰,60
三芝區,興華國小,基本,興華里,60
三芝區,興華國小,基本,店子里,60
三芝區,興華國小,自由,圓山里1–5鄰,60
三芝區,橫山國小,基本,橫山里,60
三芝區,橫山國小,基本,圓山里6、7鄰,60
三重區,三重國小,基本,崇德里,61
三重區,三重國小,基本,奕壽里,61
三重區,三重國小,基本,介壽里,61
三重區,三重國小,基本,三安里,61
三重區,三重國小,基本,龍門里,61
三重區,三重國小,基本,秀江里1–3、8–13鄰,61
三重區,三重國小,基本,長安里,61
三重區,三重國小,基本,大德里,61
三重區,三重國小,基本,開元里,61
三重區,三重國小,基本,尚德里1–5、16、21–29鄰,61
三重區,三重國小,基本,安慶里1–6鄰,61
三重區,三重國小,自由,安慶里有兄姐在修德國小就讀者,61
三重區,三重國小,自由,雙園里,61
三重區,三重國小,自由,秀江里4–7、14、15鄰,61
三重區,三重國小,自由,瑞德里,61
三重區,興穀國小,基本,五谷里,61
三重區,興穀國小,基本,谷王里,61
三重區,興穀國小,基本,德厚里,61
三重區,興穀國小,自由,中興里,61
三重區,興穀國小,自由,頂崁里即中興北街臨近新莊區化成路,61
三重區,正義國小,基本,正安里,61
三重區,正義國小,基本,正義里,61
三重區,正義國小,基本,正德里,61
三重區,正義國小,基本,重新里,61
三重區,正義國小,基本,光華里,61
三重區,正義國小,基本,中央里,61
三重區,正義國小,基本,文化里,61
三重區,正義國小,基本,錦安里,61
三重區,正義國小,基本,錦通里,61
三重區,正義國小,基本,長生里,61
三重區,正義國小,基本,大園里,61
三重區,正義國小,自由,雙園里,61
三重區,正義國小,自由,中山里,61
三重區,正義國小,自由,自強里,61
三重區,二重國小,基本,大有里,61
三重區,二重國小,基本,博愛里,61
三重區,二重國小,基本,二重里,61
三重區,二重國小,基本,田心里,61
三重區,二重國小,基本,福田里,61
三重區,二重國小,基本,光田里,61
三重區,二重國小,基本,光陽里,61
三重區,二重國小,基本,田安里中華路以西部分16–24、33–42鄰,61
三重區,重陽國小,基本,田中里,62
三重區,重陽國小,基本,三民里,62
三重區,重陽國小,基本,六福里,62
三重區,重陽國小,基本,永發里,62
三重區,重陽國小,基本,田安里中華路以東部分1–15、25–32鄰,62
三重區,重陽國小,自由,培德里17–24鄰,62
三重區,重陽國小,自由,錦田里,62
三重區,厚德國小,基本,福安里,62
三重區,厚德國小,基本,厚德里,62
三重區,厚德國小,基本,維德里,62
三重區,厚德國小,基本,尚德里6–15、17–20鄰,62
三重區,厚德國小,基本,信安里,62
三重區,厚德國小,基本,永德里,62
三重區,厚德國小,基本,立德里,62
三重區,厚德國小,基本,永煇里,62
三重區,厚德國小,基本,六合里1–10鄰,62
三重區,厚德國小,基本,培德里1–16鄰,62
三重區,厚德國小,自由,培德里17–24鄰,62
三重區,厚德國小,自由,六合里11–25鄰,62
三重區,厚德國小,自由,六合里1–10鄰有兄姊在修德國小就讀者,62
三重區,厚德國小,自由,永吉里,62
三重區,厚德國小,自由,永盛里,62
三重區,厚德國小,自由,永安里,62
三重區,厚德國小,自由,福隆里,62
三重區,永福國小,基本,永福里,62
三重區,永福國小,基本,永清里,62
三重區,永福國小,基本,永順里,62
三重區,永福國小,基本,永豐里,62
三重區,永福國小,自由,永吉里,62
三重區,永福國小,自由,永盛里,62
三重區,永福國小,自由,永安里,62
三重區,永福國小,自由,福隆里,62
三重區,永福國小,自由,福樂里,62
三重區,碧華國小,基本,碧華里,63
三重區,碧華國小,基本,慈化里,63
三重區,碧華國小,基本,慈祐里,63
三重區,碧華國小,基本,富福里,63
三重區,碧華國小,基本,慈生里,63
三重區,碧華國小,基本,慈惠里,63
三重區,碧華國小,基本,慈愛里,63
三重區,碧華國小,基本,溪美里,63
三重區,碧華國小,基本,慈福里,63
三重區,碧華國小,基本,仁華里,63
三重區,碧華國小,自由,永盛里,63
三重區,碧華國小,自由,永安里,63
三重區,碧華國小,自由,福隆里,63
三重區,碧華國小,自由,福樂里,63
三重區,光榮國小,基本,龍濱里,63
三重區,光榮國小,基本,錦江里,63
三重區,光榮國小,基本,長江里,63
三重區,光榮國小,基本,長福里,63
三重區,光榮國小,基本,承德里,63
三重區,光榮國小,基本,順德里,63
三重區,光榮國小,基本,萬壽里,63
三重區,光榮國小,基本,長泰里,63
三重區,光榮國小,基本,長元里,63
三重區,光榮國小,自由,瑞德里,63
三重區,光榮國小,自由,秀江里4–7、14、15鄰,63
三重區,五華國小,基本,富貴里,63
三重區,五華國小,基本,富華里,63
三重區,五華國小,基本,五華里,63
三重區,五華國小,基本,仁忠里,63
三重區,五華國小,基本,五常里,63
三重區,五華國小,基本,五福里,63
三重區,五華國小,基本,五順里,63
三重區,修德國小,基本,幸福里,63
三重區,修德國小,基本,重陽里,63
三重區,修德國小,基本,國隆里,63
三重區,修德國小,基本,民生里,63
三重區,修德國小,基本,安慶里7–16鄰,63
三重區,修德國小,自由,中山里,63
三重區,修德國小,自由,自強里,63
三重區,修德國小,自由,錦田里,63
三重區,修德國小,自由,六合里11–25鄰,63
三重區,修德國小,自由,六合里1–10鄰有兄姊在修德國小就讀者,63
三重區,修德國小,自由,過田里,63
三重區,修德國小,自由,安慶里有兄姊在修德國小就讀者,63
三重區,光興國小,基本,仁德里,64
三重區,光興國小,基本,光榮里,64
三重區,光興國小,基本,光輝里,64
三重區,光興國小,基本,福星里,64
三重區,光興國小,基本,福利里,64
三重區,光興國小,基本,永興里,64
