資料來源,行政區,學校,類型,里／鄰,頁碼
附件,淡水區,正德國中(賢孝校區),基本,北新里,"27,28"
附件,淡水區,正德國中(賢孝校區),基本,忠山里,"27,28"
附件,淡水區,正德國中(賢孝校區),基本,中和里,"27,28"
附件,淡水區,正德國中(賢孝校區),基本,義山里,"27,28"
附件,淡水區,正德國中(賢孝校區),基本,蕃薯里,"27,28"
附件,淡水區,正德國中(賢孝校區),基本,賢孝里,"27,28"
附件,淡水區,正德國中(賢孝校區),基本,屯山里,"27,28"
附件,淡水區,正德國中(賢孝校區),基本,興仁里,"27,28"
附件,淡水區,正德國中(賢孝校區),基本,新義里(9-14鄰),"27,28"
附件,淡水區,正德國中(賢孝校區),基本,新興里(1-3鄰、5鄰新興街84-90號15樓雙號除外、8鄰),"27,28"
附件,淡水區,正德國中(賢孝校區),基本,新春里(6-10、14-15鄰),"27,28"
附件,淡水區,正德國中(賢孝校區),基本,學府里(16-18鄰),"27,28"
附件,淡水區,正德國中(賢孝校區),基本,中興里(6-7鄰),"27,28"
附件,淡水區,正德國中(賢孝校區),自由,興華里,"27,28"
附件,淡水區,正德國中(賢孝校區),自由,店子里,"27,28"
附件,淡水區,淡水國中,基本,新市里(11-15鄰),28
附件,淡水區,淡水國中,基本,新崁里(1-14鄰),28
附件,淡水區,淡水國中,基本,崁頂里(1-3鄰),28
附件,淡水區,淡水國中,基本,樹興里,28
附件,淡水區,淡水國中,基本,油車里,28
附件,淡水區,淡水國中,基本,沙崙里,28
附件,淡水區,淡水國中,基本,大庄里,28
附件,淡水區,淡水國中,基本,永吉里,28
附件,淡水區,淡水國中,基本,協元里,28
附件,淡水區,淡水國中,基本,新生里,28
附件,淡水區,淡水國中,基本,民安里,28
附件,淡水區,淡水國中,基本,文化里,28
附件,淡水區,淡水國中,基本,新民里,28
附件,淡水區,淡水國中,基本,長庚里,28
附件,淡水區,淡水國中,基本,清文里,28
附件,淡水區,淡水國中,基本,草東里,28
附件,淡水區,淡水國中,基本,學府里(除16-18鄰),28
附件,淡水區,淡水國中,基本,新義里(1-8鄰),28
附件,淡水區,淡水國中,基本,新興里(4鄰、5鄰新興街84-90號15樓雙號、6-7、9鄰),28
附件,淡水區,淡水國中,基本,新春里(1-5、11-13鄰),28
附件,淡水區,淡水國中,基本,中興里(除6-7鄰),28
附件,淡水區,淡水國中,自由,竿蓁里,28
附件,淡水區,淡水國中,自由,鄧公里,28
附件,淡水區,淡水國中,自由,幸福里,28
附件,淡水區,淡水國中,自由,坪頂里,28
附件,林口區,林口國中,基本,西林里(15-17、21-25、27、33、36-37鄰),29
附件,林口區,林口國中,基本,仁愛里(13-28鄰),29
附件,林口區,林口國中,基本,文湖里(1-12、19-27鄰),29
附件,林口區,林口國中,基本,頭湖里(1-10鄰),29
附件,林口區,林口國中,基本,力行里(1-3鄰),29
附件,林口區,林口國中,基本,東勢里(40-42鄰),29
附件,林口區,林口國中,自由,太平里(6-15鄰),29
附件,林口區,林口國中,自由,頭湖里(11鄰),29
附件,林口區,林口國中,自由,西林里(34-35鄰),29
附件,林口區,林口國中,自由,下福里,29
附件,林口區,林口國中,自由,嘉寶里,29
附件,林口區,林口國中,自由,頂福里,29
附件,林口區,崇林國中,基本,麗林里,29
附件,林口區,崇林國中,基本,麗園里,29
附件,林口區,崇林國中,基本,東勢里(1-39鄰),29
附件,林口區,崇林國中,基本,力行里(4-8鄰),29
附件,林口區,崇林國中,基本,新林里(17-23鄰),29
附件,林口區,崇林國中,基本,仁愛里(1-12、29-30鄰),29
附件,林口區,崇林國中,自由,下福里,29
附件,林口區,崇林國中,自由,嘉寶里,29
附件,林口區,崇林國中,自由,頂福里,29
附件,林口區,崇林國中,自由,泰山區大科里(7-8鄰),29
附件,林口區,佳林國中,基本,東林里,29
附件,林口區,佳林國中,基本,菁湖里,29
附件,林口區,佳林國中,基本,中湖里,29
附件,林口區,佳林國中,基本,湖北里,29
附件,林口區,佳林國中,基本,林口里,29
附件,林口區,佳林國中,基本,湖南里,29
附件,林口區,佳林國中,基本,頭湖里(12-13鄰),29
附件,林口區,佳林國中,基本,文湖里(13-18、28-30鄰),29
附件,林口區,佳林國中,基本,瑞平里(1-4鄰),29
附件,林口區,佳林國中,基本,太平里(1-5鄰),29
附件,林口區,佳林國中,基本,西林里(1-14、18-20、26、28-32鄰),29
附件,林口區,佳林國中,自由,瑞平里(5-10鄰),29
附件,林口區,佳林國中,自由,太平里(6-15鄰),29
附件,林口區,佳林國中,自由,頭湖里(11鄰),29
附件,林口區,佳林國中,自由,西林里(34-35鄰),29
附件,林口區,佳林國中,自由,下福里,29
附件,林口區,佳林國中,自由,嘉寶里,29
附件,林口區,佳林國中,自由,頂福里,29
附件,林口區,南勢國中,基本,南勢里,29
附件,林口區,南勢國中,基本,新林里(1-16鄰),29
附件,林口區,南勢國中,基本,力行里(9-25鄰),29
附件,林口區,南勢國中,自由,下福里,29
附件,林口區,南勢國中,自由,嘉寶里,29
附件,林口區,南勢國中,自由,頂福里,29
